"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0W110","2020-05-27 00:00:00","16.000","40.000","4.000","23.300","0.900","1008.400","","2.500","-99.000","-99.000","-99.000","25.800","","22.800",""
"C0R670","2020-05-27 00:00:00","26.000","115.000","0.300","25.100","0.970","1008.600","","20.000","-99.000","-99.000","-99.000","30.200","","25.100",""
"C0X120","2020-05-27 00:00:00","28.000","137.000","2.000","25.700","0.960","1007.700","","24.500","-99.000","-99.000","-99.000","31.400","","25.600",""
"C0R100","2020-05-27 00:00:00","1006.000","0.000","0.200","19.700","0.990","902.000","","53.000","-99.000","-99.000","-99.000","22.700","","18.900",""
"C0R740","2020-05-27 00:00:00","58.000","204.000","0.500","24.900","0.970","1004.300","","26.500","-99.000","-99.000","-99.000","29.800","","24.800",""
"C0C700","2020-05-27 00:00:00","151.000","0.000","0.000","26.200","0.890","992.100","","1.500","-99.000","-99.000","-99.000","29.900","","24.700",""
"C0W130","2020-05-27 00:00:00","18.000","188.000","4.300","26.000","0.960","1005.300","","10.000","-99.000","-99.000","-99.000","27.800","","25.200",""
"C0F9R0","2020-05-27 00:00:00","20.000","193.000","1.100","25.600","0.990","1007.500","","12.000","-99.000","-99.000","-99.000","29.200","","24.700",""
"C0V660","2020-05-27 00:00:00","25.000","111.000","1.700","25.200","0.990","1007.100","","-99.000","-99.000","-99.000","-99.000","31.000","","24.900",""
"C0G780","2020-05-27 00:00:00","27.000","181.000","2.000","25.900","0.990","1006.000","","25.000","-99.000","-99.000","-99.000","30.300","","25.000",""
"C0C590","2020-05-27 00:00:00","72.000","231.000","1.900","26.200","0.850","999.800","","0.000","-99.000","-99.000","-99.000","29.400","","23.600",""
"C0I520","2020-05-27 00:00:00","3860.000","202.000","10.500","6.800","0.910","643.400","","-99.000","-99.000","-99.000","-99.000","7.100","","4.900",""
"C0M790","2020-05-27 00:00:00","15.000","147.000","0.800","25.000","0.970","1006.700","","44.500","-99.000","-99.000","-99.000","30.900","","24.400",""
"C0R130","2020-05-27 00:00:00","1040.000","0.000","0.000","19.900","0.990","896.000","","51.500","-99.000","-99.000","-99.000","21.800","","19.900",""
"C0AH30","2020-05-27 00:00:00","755.000","207.000","2.100","20.500","0.960","924.500","","4.500","-99.000","-99.000","-99.000","23.500","","18.400",""
